GENUS,APGIII_FAMILY,STATUS
Aextoxicon,Aextoxicaceae,Accepted by TPL
Affonsea,Fabaceae,Accepted by TPL
Afgekia,Fabaceae,Accepted by TPL
Afraegle,Rutaceae,Accepted by TPL
Afrafzelia,Fabaceae,Unresolved at TPL
Aframmi,Apiaceae,Accepted by TPL
Aframomum,Zingiberaceae,Accepted by TPL
Afraurantium,Rutaceae,Accepted by TPL
Afrobrunnichia,Polygonaceae,Accepted by TPL
Afrocalathea,Marantaceae,Accepted by TPL
Afrocanthium,Rubiaceae,Accepted by TPL
Afrocarpus,Podocarpaceae,Accepted by TPL
Afrodaphne,Lauraceae,Unresolved at TPL
Afrofittonia,Acanthaceae,Accepted by TPL
Afroguatteria,Annonaceae,Accepted by TPL
Afrolicania,Chrysobalanaceae,Accepted by TPL
Afroligusticum,Apiaceae,Accepted by TPL
Afrolimon,Plumbaginaceae,Accepted by TPL
Afromendoncia,Acanthaceae,Unresolved at TPL
Afropteris,Pteridaceae,Accepted by TPL
Afrormosia,Fabaceae,Unresolved at TPL
Afrosciadium,Apiaceae,Accepted by TPL
Afrosersalisia,Sapotaceae,Unresolved at TPL
Afrosison,Apiaceae,Accepted by TPL
Afrostyrax,Huaceae,Accepted by TPL
Afrothismia,Burmanniaceae,Accepted by TPL
Afrotrewia,Euphorbiaceae,Accepted by TPL
Afrotrichloris,Poaceae,Accepted by TPL
Afrotrilepis,Cyperaceae,Accepted by TPL
Afrotysonia,Boraginaceae,Accepted by TPL
Afrovivella,Crassulaceae,Accepted by TPL
Afzelia,Fabaceae,Accepted by TPL
Agalinis,Orobanchaceae,Accepted by TPL
Agallochum,Thymelaeaceae,Unresolved at TPL
Agallostachys,Bromeliaceae,Liu et al.(2015)
Agalma,Araliaceae,Unresolved at TPL
Agalmyla,Gesneriaceae,Accepted by TPL
Agaloma,Euphorbiaceae,Unresolved at TPL
Aganippea,Asteraceae,Unresolved at TPL
Aganisia,Orchidaceae,Accepted by TPL
Aganonerion,Apocynaceae,Accepted by TPL
Aganope,Fabaceae,Accepted by TPL
Aganosma,Apocynaceae,Accepted by TPL
Agapanthus,Amaryllidaceae,Accepted by TPL
Agapetes,Ericaceae,Accepted by TPL
Agarista,Ericaceae,Accepted by TPL
Agastache,Lamiaceae,Accepted by TPL
Agastachys,Proteaceae,Accepted by TPL
Agasthiyamalaia,Clusiaceae,Accepted by TPL
Agasyllis,Apiaceae,Accepted by TPL
Agatea,Violaceae,Accepted by TPL
Agathaea,Asteraceae,Unresolved at TPL
Agathelpis,Scrophulariaceae,Accepted by TPL
Agathis,Araucariaceae,Accepted by TPL
Agathisanthemum,Rubiaceae,Accepted by TPL
Agathophora,Amaranthaceae,Accepted by TPL
Agathophyllum,Lauraceae,Unresolved at TPL
Agathosma,Rutaceae,Accepted by TPL
Agathotes,Gentianaceae,Unresolved at TPL
Agathyrsus,Asteraceae,Unresolved at TPL
Agati,Fabaceae,Unresolved at TPL
Agation,Violaceae,Unresolved at TPL
Agauria,Ericaceae,Accepted by TPL
Agave,Asparagaceae,Accepted by TPL
Agdestis,Phytolaccaceae,Accepted by TPL
Agelaea,Connaraceae,Accepted by TPL
Agelanthus,Loranthaceae,Accepted by TPL
Agenium,Poaceae,Accepted by TPL
Ageratella,Asteraceae,Accepted by TPL
Ageratina,Asteraceae,Accepted by TPL
